ID_rec	ID_vow	label_wov	F1_1	F1_2	F1_3	F1_4	F1_5	F2_1	F2_2	F2_3	F2_4	F2_5
Be_01	0	i:	428.31485162571636	468.93501524403973	449.13041932010503	473.79322791740225	501.04827364981645	2504.5276525816294	2671.210931164108	2634.695572475704	2608.037647831752	2739.444990631871	
Be_01	1	A:	844.2813260718069	740.1998551998911	735.8922973301762	851.7813163466163	906.4340567059918	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_01	2	A:	980.3603549396843	1153.5446283005617	982.1230926449944	797.7709862883219	868.2160981072587	2309.474847430983	--undefined--	--undefined--	--undefined--	--undefined--	
Be_01	3	2	659.2142613607773	677.0255105193385	704.3323223727065	742.7459336708321	832.8359146117624	2342.743453712694	2501.425969874851	--undefined--	--undefined--	--undefined--	
Be_01	4	o:	703.6357215585849	579.9099654241002	645.4664719309942	448.419011722429	675.096269074761	--undefined--	--undefined--	--undefined--	2482.738148648293	--undefined--	
Be_01	5	A:	677.7590878273325	774.5008618207748	777.0248372707268	803.3565443875566	750.4435814187565	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_01	6	a	561.7375901094132	685.949180396665	658.8818220215283	688.6357863104909	741.5177344380708	2673.3865397229774	2462.6807666772575	2026.008876903934	2168.3888067725757	2355.846367908515	
Be_01	7	a	458.43625007051634	594.0204076874052	631.3748060688662	738.5066484911367	723.8343065140681	2904.149170477622	--undefined--	--undefined--	--undefined--	--undefined--	
Be_01	8	o:	701.9016280347001	699.60419795774	745.0389096927308	734.5304252064369	717.1565105719358	2591.0709586860426	2752.978393478039	--undefined--	--undefined--	--undefined--	
Be_02	0	Y	527.1917191044491	522.7761346255041	495.3580007644708	429.6080714483882	405.15087587727174	1849.9131764021595	2567.7948267170414	2538.8808623691084	2114.032030969487	2210.4740127702335	
Be_02	1	a	890.6929192226082	862.1677767006878	844.7275620227564	752.1728056428843	884.5304289442386	2153.3739468825274	2169.3489648698182	2210.7722786344602	2036.3788428475705	--undefined--	
Be_02	2	e	776.180947023224	682.2343801460196	717.2099474237003	604.924887031874	590.8749248761004	--undefined--	--undefined--	2453.6336158964496	2362.3165750735484	2356.1886955950945	
Be_02	3	E	907.6576936252027	872.8939596696691	616.121461188433	527.4465880868447	574.8973286121321	--undefined--	2431.187374528009	2406.6213157901598	2377.3025584911056	2301.142854412288	
Be_02	4	A:	935.3373148155738	1100.543446966545	1224.131261565446	375.3555511628945	618.9446421977535	2150.2297440099433	1736.790457194364	--undefined--	1314.5263039145548	1633.6020419446666	
Be_02	5	i:	1635.727165847516	394.2693185587142	603.454870273177	567.4992904324702	501.46588665179814	--undefined--	1812.0107449185725	1890.0746251957512	1944.9178687404385	2183.4267536886887	
Be_02	6	i:	479.23548219594886	518.359560793186	1034.5270306062387	617.0934775631491	585.6579652460065	2324.0710229792626	2405.5360683882577	--undefined--	2809.8588272342254	2496.3668826089274	
Be_02	7	i:	2418.0854298841873	2399.3754834376787	2395.2635343803267	1264.3495376308051	1713.2400200140914	--undefined--	--undefined--	--undefined--	2413.4394786110433	--undefined--	
Be_02	8	A:	777.0860580830047	700.6191814843002	781.6156708702847	866.0322533544471	825.5361371269904	--undefined--	--undefined--	--undefined--	2223.8237955539603	1845.2995180106268	
Be_02	9	A:	770.6935463969485	767.6314209869631	786.7039609437818	810.9013923949658	795.0205013011999	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	10	2	704.393524264009	747.6871191119334	742.6633688329861	804.4142960414822	842.055265244818	--undefined--	2748.4383536899777	--undefined--	--undefined--	--undefined--	
Be_02	11	e:	1181.4135564452693	1124.793478647361	1137.9366894370885	849.0867969894242	891.4466200564085	--undefined--	--undefined--	--undefined--	1834.5728973650484	2447.1614469783426	
Be_02	12	o:	334.5149579297768	328.7843743579358	331.1270211999673	333.4359848051665	329.7773886054138	1919.4966130969258	1726.9121638497702	1702.2932420784925	1700.9436673564278	1732.9999165550057	
Be_02	13	A:	596.5455915018266	693.4317116483462	826.0863641015698	842.3514751782752	842.9611350006651	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	14	a	686.3064839363708	697.7900402418192	647.7254411924616	615.3429113498834	478.7871821515334	--undefined--	--undefined--	2471.497780639792	2236.1940389800093	2044.3873442275242	
Be_02	15	a	720.9458202160784	833.966273267399	849.1784471361314	815.1432667288981	779.6324688342213	2500.7356992218215	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	16	o:	687.9719082754605	593.2621375197796	582.0995797648249	636.3812161679392	536.6435733477348	2456.2951886111846	2509.409495924194	2747.248029269537	--undefined--	--undefined--	
Be_02	17	o:	675.0615006106393	709.3137128979896	617.7487347476756	686.0922116296481	543.2021269014459	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	
Be_02	18	i:	407.4171178258427	435.1166260696482	423.2598438905389	423.69062798012965	384.47752915809957	2183.8365362366717	2352.6273770290313	2404.02766632797	2344.4156519168346	2342.167973502644	
Be_02	19	e:	1389.6374311299514	1487.2932828922308	1465.726402530849	740.2066146928838	817.0904701667058	--undefined--	--undefined--	--undefined--	2018.6666384584757	1988.4873519389052	
Be_02	20	E:	976.5085651038786	851.2955256112119	896.5662962030035	807.5533107191428	856.8317634965473	1532.3542677676203	2157.4848677859723	2163.1831720430505	2259.600420953816	2022.681652478461	
