speaker	recording	vowel	label	F1	F2	include
B	01	0	u:	1007.282984065292	2438.490576207475	1
B	01	1	I	1812.6875192395228	2585.0113140628337	1
B	01	2	A:	1027.0516412636707	2621.985639350428	1
B	01	3	a	1203.8093248689734	2444.8229183608814	1
B	01	4	2:	1192.3065964360746	2601.21607411267	1
B	01	5	U	836.3914534687426	2449.2633978114923	1
B	01	6	A:	997.2224995753322	2713.6123431862766	1
B	01	7	a	1401.0597526343004	2496.089506563621	1
B	01	8	a	1347.4854240912234	2595.003619045729	1
B	01	9	o:	1897.641588188053	2716.5635438741847	1
B	02	0	Y	1673.8086860113804	2379.1274585875235	1
B	02	1	a	1245.9079919291016	2410.648248662028	1
B	02	2	E	1338.1088005791116	2544.631920203685	1
B	02	3	I	1393.4416287128536	2495.3269941043827	1
B	02	4	E	1372.3349690835116	2443.095936031311	1
B	02	5	A:	1540.4479897866563	2289.042210978325	1
B	02	6	I	1607.0917862339206	2484.823886381086	1
B	02	7	i:	1386.1748844398128	2514.661877200348	1
B	02	8	u:	1172.632632060823	2349.2249062323335	1
B	02	9	I	1994.9645353929232	2655.3896658199524	1
B	02	10	A:	1002.2402146336111	2572.8562971468696	1
B	02	11	a	1057.34754019266	2771.3923050919416	1
B	02	12	2:	969.6283751579505	2499.3831151273234	1
B	02	13	E	1214.2559980128813	2434.5049801948303	1
B	02	14	U	1491.8701150084958	2392.0771674909265	1
B	02	15	A:	882.3855802424624	2699.2631315119347	1
B	02	16	a	1535.2417217211896	2533.2957669834664	1
B	02	17	a	1201.1296090722672	2588.1955543994263	1
B	02	18	o:	1107.3383240306327	2544.2008692481663	1
B	02	19	O	770.5985700307369	2607.530733057098	1
B	02	20	I	1577.476244011023	2412.4386477973108	1
B	02	21	@	1404.3146952201037	2448.9942135275483	1
B	02	22	E:	1257.098311291446	2415.821823472523	1
B	02	23	@	1372.3867826370997	2464.7526860097532	1
B	02	24	Y	1388.4747530884358	2811.5398375219033	1
B	02	25	a	1348.8526000600752	2552.321955005293	1
B	02	26	o:	1124.4980611227359	2420.9103289653135	1
B	02	27	E	1283.37262277518	2570.6317492988474	1
B	02	28	I	1469.745967586773	2556.4461436720153	1
B	02	29	O	1192.2678616629014	2495.7836378495344	1
B	02	30	A:	1508.458548447761	2500.888329757687	1
B	02	31	I	1973.934648868838	2740.431129790907	1
B	02	32	2:	1234.6609663614458	2537.2916835993237	1
B	02	33	I	1806.6160628056796	2498.090313230279	1
B	02	34	o:	1074.8123484497985	2554.1003272533876	1
B	02	35	i:	1691.9942735490606	2470.204754928169	1
B	02	36	@	1507.1489745122976	2469.123510822114	1
B	02	37	i:	1399.1003394875124	2526.3784516803594	1
B	02	38	u:	1398.4265996563843	2538.857356552433	1
B	02	39	u:	1566.292281197493	2545.68137013093	1
B	02	40	e:	1843.0434667808206	2644.186683587183	1
B	02	41	a	1647.8473621600283	2682.348797272923	1
B	03	0	a	1153.389844715272	2602.3107957706993	1
B	03	1	A:	980.3774921523477	2556.7192003281903	1
B	03	2	a	1254.773217585482	2763.4565406766224	1
B	03	3	I	1514.7751185924628	2721.4622072670318	1
B	03	4	I	1533.9145618268653	2842.670984827368	1
B	03	5	a	1295.0353109940377	2458.1784858495166	1
B	03	6	o:	1063.8763610899457	2423.168540123277	1
B	03	7	O	813.6735894132974	2480.3716485539694	1
B	03	8	A:	977.3404360454886	2540.0524104053807	1
B	03	9	o:	895.0270064601091	2365.7246004097233	1
B	03	10	@	1136.6868743684038	2581.2785238404977	1
B	03	11	o:	1641.6557280288787	2472.481784472626	1
B	03	12	e:	1536.3978066061875	2645.27482176307	1
B	03	13	o:	1070.886833832707	2743.507092943718	1
B	03	14	E:	1283.9014773744602	2551.7156731047585	1
B	03	15	@	1259.2769356179172	2412.3031747049895	1
B	03	16	O	1136.801501100162	2561.9536792633126	1
B	03	17	I	1941.5538071380545	2615.805241128733	1
B	03	18	e:	1445.176025393014	2591.169201066668	1
B	03	19	a	1171.5676207846122	2577.955250849756	1
B	03	20	a	1139.185209979716	2731.356969766676	1
B	03	21	Y	1852.1893895099981	2776.14328614488	1
B	03	22	@	2242.516375272038	--undefined--	0
B	03	23	I	1841.5348214204942	2698.2130267649195	1
B	03	24	a	1132.7634568410106	2617.6395473975704	1
B	03	25	@	1354.8412152539097	2672.9961422766187	1
B	03	26	E	1541.9230148701367	2586.1893591411695	1
B	03	27	a	1458.2573498744732	2433.92248984573	1
B	03	28	e:	1510.4978927818738	2669.0046551532623	1
B	03	29	a	1117.04901889151	2403.996943548387	1
B	03	30	O	1327.3058252888204	2269.1614857081227	1
B	03	31	I	1498.6424640358864	2471.836761174983	1
B	03	32	@	1488.342326917528	2623.331239765339	1
B	04	0	a	1215.2606728063504	2647.6803647162365	1
B	04	1	@	1494.342490550332	2737.154713778735	1
B	04	2	E:	1401.2714152575338	2727.255031740709	1
B	04	3	a	1401.058228713316	2547.485803454631	1
B	04	4	e:	1535.4515701488688	2674.0259931318924	1
B	04	5	a	1327.1940209650222	2462.4538370281557	1
B	04	6	I	1573.4384423490892	2786.677039271909	1
B	04	7	E	1502.1140253372275	2469.78424019504	1
B	04	8	U	1219.368435925937	2333.29685883852	1
B	04	9	A:	903.0247628093517	2710.8635418648782	1
B	04	10	a	1348.4934560463753	2694.8614525650037	1
B	04	11	a	1219.3241928533002	2696.4463377622446	1
B	04	12	o:	937.4156142723135	2525.4800537383126	1
B	04	13	e:	1406.3409530332895	2218.9893280373376	1
B	04	14	E	1477.282868482545	2737.0695490809017	1
B	04	15	u:	1074.2500199411265	2476.762765621122	1
B	04	16	a	1191.8309276987345	2766.162460134047	1
B	04	17	A:	890.878356370991	2585.614003541631	1
B	04	18	O	1263.48355571295	2708.358628303416	1
B	04	19	E	1028.1360822817626	2536.429618803271	1
B	04	20	E	1554.3188085642062	2689.4544392426865	1
B	04	21	@	1336.317957485113	2472.291643989124	1
B	04	22	u:	2020.5008266589086	2112.1851916424325	1
B	04	23	I	2092.8085030489033	2753.3358468296215	1
B	05	0	a	1193.1771957430797	2449.249745109717	1
B	05	1	2	959.6410278962217	2458.425365553084	1
B	05	2	2	1362.9406254356622	2403.9489977784838	1
B	05	3	@	1262.0939367052335	2313.251143147441	1
B	05	4	u:	1091.2347923994964	2469.302701413714	1
B	05	5	u:	1335.6799961329407	2619.28151424239	1
B	05	6	e:	1732.5084473920335	2519.392626490681	1
B	05	7	a	1241.8833062354388	2711.2998459082096	1
B	05	8	a	1538.5873297145074	2667.753347360068	1
B	05	9	e:	1547.1183077460792	2790.9470823001566	1
B	05	10	a	1304.2245926632113	2383.8548409334353	1
B	05	11	@	1333.6483433251344	2803.725762169837	1
B	05	12	O	1057.3574581079995	2681.2429889130726	1
B	05	13	a	1249.5799686756145	2710.220842917336	1
B	05	14	a	1287.3936689562258	2667.944056791664	1
B	05	15	a	1138.7850512842674	2609.7635722207874	1
B	05	16	O	801.5841820546681	2586.3227688023917	1
B	05	17	O	750.5807953417167	2521.957536826987	1
B	05	18	a	1190.3734918081477	2605.6035027769353	1
B	05	19	i:	1944.5823305113327	2648.4474546069528	1
B	05	20	E	1564.2063265377242	2277.496392016856	1
B	05	21	E	1637.0368200859696	2762.8149062332996	1
B	05	22	@	1273.6920510082923	2211.7934563946783	1
B	05	23	a	1086.0656610992567	2565.4354892454135	1
B	05	24	u:	1056.7864039925435	2433.6681124627653	1
B	05	25	a	1188.652208935222	2593.8365877664705	1
B	05	26	A:	787.9714685400115	2442.0461881427887	1
B	05	27	O	914.1441319822661	2660.1370187820708	1
B	05	28	a	1227.2071661779953	2416.17672774805	1
B	05	29	u:	957.5733566692908	2432.7185769761672	1
B	05	30	@	1219.1296846648838	2640.336404277784	1
B	05	31	E:	1272.4281445503082	2681.243626319051	1
B	05	32	e:	1492.7590993190054	2545.273310799434	1
B	05	33	I	1403.979036296511	2417.468085542809	1
B	05	34	2:	1391.1904073985343	2281.6800078336796	1
B	06	0	}:	1729.87932281305	2649.604435828503	1
B	06	1	A:	1136.6789303195758	2428.099517110409	1
B	06	2	a	1202.0044087982226	2719.764499002523	1
B	06	3	e:	1475.427724725971	2815.2184872563794	1
B	06	4	O	809.6258971148407	2439.8184715159155	1
B	06	5	@	1239.550096326938	2609.3772070536966	1
B	06	6	E	1876.9694830752355	2484.2888326231787	1
B	06	7	@	1234.8039808673916	2281.898022730658	1
B	06	8	a	1544.4010934694484	2497.652923497493	1
B	06	9	}:	1712.4370452934377	2605.1819803060644	1
B	06	10	E	1602.5900161775069	2487.83770221784	1
B	06	11	A:	1328.2040913209942	2646.158367080948	1
B	06	12	E	1298.7070185262019	2441.17106315919	1
B	06	13	@	1591.0487047489537	2098.7237554412154	1
B	06	14	a	1422.6129553125277	2408.6559923625464	1
B	06	15	a	1289.9077236755272	2460.271190656374	1
B	06	16	a	1299.1261939077417	1932.0174249075274	1
