speaker	recording	vowel	label	F0	F1	F2	include
B	01	0	u:	201.48440609867203	431.92914040440877	1007.282984065292	1
B	01	1	I	212.36891947540752	424.39223277325453	1812.6875192395228	1
B	01	2	A:	157.55719072980924	692.7616777437386	1027.0516412636707	1
B	01	3	a	121.01489042768782	627.3748545570396	1203.8093248689734	1
B	01	4	2:	118.0974314836052	687.0750688635741	1192.3065964360746	1
B	01	5	U	115.71729006006935	448.20453009423693	836.3914534687426	1
B	01	6	A:	176.12632635743853	578.0615262648556	997.2224995753322	1
B	01	7	a	201.71925071862074	540.4098070202448	1401.0597526343004	1
B	01	8	a	136.51277986141866	601.340764071075	1347.4854240912234	1
B	01	9	o:	150.91262950479486	726.6623045755356	1897.641588188053	1
B	02	0	Y	207.73484203667076	424.5549096748618	1673.8086860113804	1
B	02	1	a	210.46404349022583	681.4328231665755	1245.9079919291016	1
B	02	2	E	193.0102503148797	555.8655011374976	1338.1088005791116	1
B	02	3	I	132.32056013247632	324.12610434999556	1393.4416287128536	1
B	02	4	E	116.6389956219905	447.4484521322683	1372.3349690835116	1
B	02	5	A:	179.61740326731265	729.4469011452666	1540.4479897866563	1
B	02	6	I	198.6780663224953	455.02586431772136	1607.0917862339206	1
B	02	7	i:	200.6673197603124	433.8268959028929	1386.1748844398128	1
B	02	8	u:	130.33776200992006	420.904244924392	1172.632632060823	1
B	02	9	I	190.49605661820675	352.4554498365067	1994.9645353929232	1
B	02	10	A:	162.61605590513122	708.6917585378606	1002.2402146336111	1
B	02	11	a	181.04476492303948	642.162389288345	1057.34754019266	1
B	02	12	2:	156.94405825011958	634.114133903692	969.6283751579505	1
B	02	13	E	160.48766196404264	400.4080309629187	1214.2559980128813	1
B	02	14	U	158.61949889855507	375.32804880383037	1491.8701150084958	1
B	02	15	A:	175.91298886669162	561.0919761316208	882.3855802424624	1
B	02	16	a	194.71049660550239	578.3285028936515	1535.2417217211896	1
B	02	17	a	157.18425803398355	677.8473196915272	1201.1296090722672	1
B	02	18	o:	138.25062257196345	608.4494005049629	1107.3383240306327	1
B	02	19	O	179.91557331206417	527.6158502867303	770.5985700307369	1
B	02	20	I	203.81912746557526	380.2146275678199	1577.476244011023	1
B	02	21	@	134.79137304939042	486.02419480429666	1404.3146952201037	1
B	02	22	E:	136.15350878778523	707.9204033834948	1257.098311291446	1
