speaker	recording	vowel	label	F1	F2	include
B	01	0	u:	556.5902618236994	2238.4847757176526	1
B	01	1	I	457.15078921559774	2526.345887143163	1
B	01	2	A:	821.6661004778983	1878.2290285044091	1
B	01	3	a	938.2235500948229	2071.9770726358724	1
B	01	4	2:	725.1105883558849	2535.4843650680104	1
B	01	5	U	591.4405943989247	2370.9903839571816	1
B	01	6	A:	761.068191020552	2659.7541591489603	1
B	01	7	a	763.7015837040229	2347.047587890426	1
B	01	8	a	617.1874325547537	2605.596489861574	1
B	01	9	o:	717.1249673963829	2619.624808423662	1
B	02	0	Y	466.79842192214113	2164.5191682112677	1
B	02	1	a	845.4152398841525	2161.046220070338	1
B	02	2	E	675.1744553492235	2406.39721175002	1
B	02	3	I	1229.4844040998391	2566.2671088111238	1
B	02	4	E	687.6165679793709	2369.4047923626717	1
B	02	5	A:	1067.379269643031	1784.696573140331	1
B	02	6	I	971.9212325051869	1978.2620353383772	1
B	02	7	i:	582.8981179262768	2432.12486010928	1
B	02	8	u:	571.9662217559683	2107.199416799582	1
B	02	9	I	1932.2338462765342	2515.887758556234	1
B	02	10	A:	800.4896256982702	1853.8798444729978	1
B	02	11	a	778.7321217810513	2825.5640364075225	1
B	02	12	2:	768.070236235111	2363.7992521458928	1
B	02	13	E	1023.9797451159177	2262.403845600713	1
B	02	14	U	375.4378552732711	1752.376510579455	1
B	02	15	A:	771.9353849541982	--undefined--	1
B	02	16	a	612.7195987430665	2257.1977314400588	1
B	02	17	a	781.8401023811317	2443.6914228090513	1
B	02	18	o:	660.7464722122577	2493.122099825347	1
B	02	19	O	627.7667768968382	2691.6144521579567	1
B	02	20	I	410.9001792019404	2315.5754036876856	1
B	02	21	@	1229.530451894975	2066.7669396160336	1
B	02	22	E:	895.024636274081	2124.1043218091772	1
B	02	23	@	1288.5637655048179	--undefined--	1
B	02	24	Y	682.6237519022997	--undefined--	1
B	02	25	a	1033.137724281349	2618.5947149295766	1
B	02	26	o:	573.3536796117606	2365.8204108085242	1
B	02	27	E	964.0290811383128	2207.312332376654	1
B	02	28	I	825.5322722992827	2385.886923842732	1
B	02	29	O	896.8010730810871	2278.30897744368	1
B	02	30	A:	826.8803054357429	2395.9407653055455	1
B	02	31	I	2116.1736781471623	2500.4188216329776	1
B	02	32	2:	866.5747535272669	2554.829508908925	1
B	02	33	I	647.7139999179897	2438.3434132896864	1
B	02	34	o:	642.4909549023978	2559.8955203050245	1
B	02	35	i:	1604.6946920664818	2395.8554377450073	1
B	02	36	@	854.0052334566349	2427.0613661001116	1
B	02	37	i:	1203.0754274084418	2200.39932957717	1
B	02	38	u:	368.8996328722126	2542.2961528485253	1
B	02	39	u:	774.718313432022	2457.5779847116128	1
B	02	40	e:	1675.548944111481	2291.039280885124	1
B	02	41	a	807.2377312844869	2555.419182198472	1
B	03	0	a	1000.9827819683638	2639.628866583723	1
B	03	1	A:	863.1174028726239	--undefined--	1
B	03	2	a	882.8347506476758	--undefined--	1
B	03	3	I	1221.8185755161182	2595.6087737392577	1
B	03	4	I	1168.2223496228526	2556.5849142213074	1
B	03	5	a	797.667173795959	1537.427558133655	1
B	03	6	o:	651.3663328990618	1790.7371110395898	1
B	03	7	O	576.0749838494772	2198.9375517592057	1
B	03	8	A:	683.7706832539986	2283.8608959928056	1
B	03	9	o:	601.9954902839241	1418.0883658322953	1
B	03	10	@	907.5606161946896	--undefined--	1
B	03	11	o:	715.7041347850014	2423.25826328065	1
B	03	12	e:	861.0211896881707	2526.0521756244616	1
B	03	13	o:	645.8159531230307	2253.466078967619	1
B	03	14	E:	997.1173758010192	1829.413693106551	1
B	03	15	@	1061.6144382646216	1242.0389244670505	1
B	03	16	O	614.8771317390816	2219.7593305673495	1
